,Type,Name,Age,Gender,Color1,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Fee,State,PhotoAmt,AdoptionSpeed,BreedMixed,ColorMixed,Video
0,2,Nibble,3,1,1,1,1,2,2,2,1,100,41326,1.0,2.0,False,False,False
1,2,No Name Yet,1,1,1,2,2,3,3,3,1,0,41401,2.0,0.0,False,False,False
2,1,Brisco,1,1,2,2,2,1,1,2,1,0,41326,7.0,3.0,True,False,False
3,1,Miko,4,2,1,2,1,1,1,2,1,150,41401,8.0,2.0,True,False,False
4,1,Hunter,1,1,1,2,1,2,2,2,1,0,41326,3.0,2.0,True,True,False
5,2,No Name No Name,3,2,5,2,1,2,2,2,1,0,41326,2.0,2.0,False,False,False
6,2,BULAT,12,1,1,2,3,2,2,3,1,300,41326,3.0,1.0,False,True,False
7,2,No Name No Name,2,2,6,2,2,2,2,2,1,0,41326,6.0,1.0,False,True,False
8,2,Kitty,12,2,1,2,2,3,3,3,1,0,41326,2.0,4.0,False,False,False
9,1,Bear,2,1,1,2,1,2,1,2,1,0,41401,7.0,1.0,True,False,False
10,2,Kali,3,2,1,3,3,1,1,2,1,50,41326,2.0,1.0,False,False,False
11,1,Peanut,2,1,2,2,3,1,1,2,1,0,41326,1.0,2.0,True,False,False
12,1,Lost Dog,3,2,2,2,2,3,3,3,1,0,41401,2.0,2.0,True,False,False
13,1,Max,78,1,1,2,2,3,3,3,1,0,41326,2.0,4.0,False,False,False
14,2,Brownie,6,2,2,1,1,1,1,1,1,0,41326,1.0,3.0,False,True,False
15,1,Blackie,8,2,2,2,1,2,1,1,1,10,41330,2.0,4.0,True,True,False
16,1,Beauty,2,2,1,2,1,2,1,2,1,0,41401,8.0,2.0,True,True,False
17,1,Godiva,12,2,2,2,2,2,1,1,1,0,41326,7.0,2.0,True,False,False
18,1,Donut,10,2,1,2,2,1,1,1,1,0,41326,0.0,4.0,False,False,False
19,2,Cikenet,3,1,2,1,1,2,1,2,1,0,41401,19.0,1.0,False,False,False
20,2,Garfield,36,1,3,3,2,1,1,1,1,0,41326,3.0,2.0,False,True,False
21,2,No Name,2,1,3,2,2,2,2,2,1,0,41401,11.0,1.0,False,True,False
22,2,No Name,1,2,1,2,1,2,2,2,1,0,41326,2.0,2.0,False,True,False
23,1,Hunter,14,1,1,3,1,1,1,2,1,1,41326,0.0,3.0,False,False,False
